,aruco_IDs,aruco_Corners,Timestamps
168,[[4]],"(array([[[889., 755.],
        [985., 757.],
        [981., 851.],
        [885., 850.]]], dtype=float32),)",6732
169,[[4]],"(array([[[888., 754.],
        [985., 756.],
        [980., 850.],
        [885., 849.]]], dtype=float32),)",6772
170,[[4]],"(array([[[888., 753.],
        [984., 755.],
        [980., 849.],
        [885., 849.]]], dtype=float32),)",6812
171,[[4]],"(array([[[888., 755.],
        [985., 757.],
        [980., 851.],
        [885., 851.]]], dtype=float32),)",6852
172,[[4]],"(array([[[889., 760.],
        [985., 762.],
        [980., 857.],
        [885., 856.]]], dtype=float32),)",6892
173,[[4]],"(array([[[890., 754.],
        [985., 756.],
        [980., 850.],
        [886., 849.]]], dtype=float32),)",6932
174,[[4]],"(array([[[893., 742.],
        [988., 744.],
        [983., 837.],
        [889., 836.]]], dtype=float32),)",6972
175,[[4]],"(array([[[895., 740.],
        [991., 742.],
        [986., 836.],
        [892., 835.]]], dtype=float32),)",7012
176,[[4]],"(array([[[895., 743.],
        [991., 746.],
        [984., 840.],
        [890., 838.]]], dtype=float32),)",7052
177,[[4]],"(array([[[891., 746.],
        [988., 748.],
        [982., 842.],
        [888., 840.]]], dtype=float32),)",7092
178,[[4]],"(array([[[890., 745.],
        [987., 748.],
        [981., 841.],
        [887., 840.]]], dtype=float32),)",7132
179,[[4]],"(array([[[889., 746.],
        [986., 748.],
        [980., 842.],
        [886., 840.]]], dtype=float32),)",7173
180,[[4]],"(array([[[889., 748.],
        [985., 750.],
        [980., 844.],
        [885., 842.]]], dtype=float32),)",7213
181,[[4]],"(array([[[889., 751.],
        [985., 753.],
        [980., 847.],
        [885., 845.]]], dtype=float32),)",7253
182,[[4]],"(array([[[889., 751.],
        [985., 753.],
        [980., 847.],
        [885., 845.]]], dtype=float32),)",7293
183,[[4]],"(array([[[888., 749.],
        [984., 751.],
        [979., 845.],
        [885., 844.]]], dtype=float32),)",7333
184,[[4]],"(array([[[888., 748.],
        [984., 750.],
        [979., 844.],
        [885., 843.]]], dtype=float32),)",7373
185,[[4]],"(array([[[888., 751.],
        [984., 753.],
        [980., 847.],
        [885., 846.]]], dtype=float32),)",7413
186,[[4]],"(array([[[890., 756.],
        [986., 759.],
        [981., 853.],
        [886., 851.]]], dtype=float32),)",7453
187,[[4]],"(array([[[892., 762.],
        [988., 765.],
        [983., 859.],
        [888., 857.]]], dtype=float32),)",7493
