x_T x_A x_P
159.72093023255815 513.0 -506.0
188.5 513.0 -489.3928571428571
183.0 513.0 -471.25
154.5 514.5 -453.1071428571429
29.5 542.5 -442.25
34.5 566.5 -499.0
116.0 566.0 -506.0
63.0 566.0 -507.0
-100.5 566.0 -503.5
-30.875 511.0 -502.75
22.0 507.0 -501.75
38.5 503.5 -499.5
25.5 502.5 -498.0
18.25 502.0 -497.5
93.0 502.0 -495.5
242.0 509.5 -493.5
66.5 509.0 -491.5
82.75 509.0 -490.0
184.41666666666669 509.0 -488.75
286.08333333333337 509.5 -488.5
387.75 510.5 -487.75
415.5 501.0 -486.75
519.5 499.75 -486.5
507.5 512.0833333333333 -485.5
505.0 524.4166666666667 -485.5
545.5 499.0 -485.0
509.5 510.5 -484.75
533.5 510.0 -484.5
490.5 512.0 -485.25
484.5 515.0 -485.0
544.0 515.0 -484.75
546.0 519.5 -484.75
547.5 519.0 -484.0
529.0 516.5 -483.5
552.0 495.0625 -483.5
552.5 505.3125 -483.25
507.5 504.0 -483.0
555.5 503.0 -483.25
544.0 506.0 -483.75
538.0 503.5 -484.25
486.625 504.5 -483.0
241.125 504.0 -482.25
-4.375 501.0 -480.75
-249.875 498.5 -472.5
-444.5 498.0 -478.17857142857144
-612.125 498.0 -497.75
-610.5 497.5 -517.3214285714287
-708.0 500.5 -514.25
-636.0 505.5 -496.5
-567.0 507.5 -512.75
-579.0 507.5 -524.75
-582.5 508.5 -505.0
-593.0 499.5 -492.5
-579.0 498.5 -504.0
-581.5 500.0 -513.5
-518.8 502.5 -513.5
-558.0 502.5 -512.75
-597.2 502.0 -511.5
-604.0 507.0 -507.75
-704.5 508.5 -504.5
-693.5 509.0 -503.75
-567.0 508.5 -501.75
-566.5 508.5 -501.0
-546.5 508.5 -500.25
-624.0 508.5 -500.5
-500.625 508.5 -499.75
-467.25 508.0 -501.0
-476.5 508.0 -502.0
-476.5 501.5 -496.25
-478.5 496.0 -493.75
-698.4583333333333 495.5 -493.5
-608.2916666666667 496.0 -494.75
-518.125 496.0 -494.75
-449.0 512.5 -494.75
-449.5 513.0 -500.75
-456.0 513.0 -508.75
-452.5 513.5 -517.75
-454.0 514.0 -520.75
-454.0 515.5 -535.5
-456.0 516.0 -543.0
-454.0 516.5 -542.0
-631.625 516.0 -498.0
-768.5 515.0 -499.25
-665.0 514.5 -498.75
-813.75 514.5 -498.5
-700.5 514.0 -498.25
-676.5 513.5 -497.75
-332.0 513.5 -498.25
-179.5 514.5 -498.0
-163.0 514.0 -497.5
-160.5 513.0 -497.25
-160.5 511.5 -498.0
-159.0 511.5 -498.25
-158.0 511.0 -498.5
-132.5 507.0 -499.5
-68.5 497.5 -499.25
-71.0 497.5 -498.75
-65.5 497.5 -498.75
-88.0 498.5 -498.75
-217.25000000000003 498.5 -497.0
-377.58333333333337 498.5 -496.25
-537.9166666666667 498.5 -495.0
-584.5 498.0 -495.25
-630.5 494.0 -495.75
-615.0 483.0 -495.75
-590.5 481.0 -495.25
-591.0 494.5 -495.0
-595.5 499.5 -495.0
-582.0 502.0 -495.25
-584.0 503.0 -495.5
-583.0 503.0 -498.0
-730.0 508.5 -505.0
-562.0 505.0 -505.0
-543.5 504.0 -507.5
-534.0 506.5 -506.5
-548.5 509.5 -507.25
-549.0 510.5 -506.75
-550.5 512.0 -507.0
-555.5 514.5 -504.5
-553.5 514.5 -515.25
-555.0 506.5 -524.0
-560.5 498.0 -521.0
-581.5 496.0 -521.0
-562.5 495.0 -515.0
-561.0 494.5 -513.5
-563.0 494.5 -508.75
-564.0 504.0 -504.5
-545.5 507.0 -501.0
-541.5 509.0 -500.5
-544.5 509.5 -501.0
-540.5 506.5 -501.75
-525.5 500.0 -502.0
-526.0 498.5 -501.75
-530.0 497.0 -502.5
-537.0 496.0 -504.0
