x_A x_P y_A y_P d_A d_P FaceP_A FaceA_P
591.0 514.0 398.0 331.0 712.5201880245864 611.3566880308091 0.0 0.0
588.0 515.0 397.5 331.0 709.7537753228603 612.1979192467427 0.0 0.0
586.0 515.0 395.5 331.0 706.9768383759117 612.1976804921757 0.0 0.0
541.5 515.25 377.0 332.0 659.843471753018 612.949085027558 0.0 0.0
517.5 515.25 368.0 332.0 635.0042645825931 612.949085027558 0.0 0.0
518.0 516.0 367.5 332.0 635.122232330124 613.5796606798501 0.0 0.0
518.0 515.5 367.0 332.0 634.8331800156318 613.1592968342218 0.0 0.0
518.5 514.75 368.0 332.25 635.819419133155 612.66446318866 0.0 0.0
510.0 514.5 368.5 332.5 629.2005810965959 612.5899933887265 0.0 0.0
526.5 514.5 383.0 332.5 651.0863121534758 612.5899933887265 0.0 0.0
540.0 514.5 411.5 333.5 678.9200307530814 613.1333460186291 0.0 0.0
540.0 515.0 413.0 333.5 679.8301583821028 613.5530326411392 0.0 0.0
541.5 515.0 417.5 332.75 683.7605575053302 613.1462915425759 0.0 0.0
541.5 514.0 422.0 331.75 686.517479748331 611.763080148246 0.0 0.0
541.5 513.75 426.5 333.0 689.292753479971 612.2320885626307 0.0 0.0
541.0 519.0 428.5 335.25 690.1400918477799 617.8634477233985 0.0 0.0
538.5 519.75 425.5 332.25 686.3181127080088 616.8750990567743 0.0 0.0
596.5 520.5 392.5 331.0 714.0507957151502 616.837298073476 0.0 0.0
590.0 522.0 371.5 327.0 697.2177466001166 615.9654819426819 0.0 0.0
591.5 521.75 358.5 325.25 691.6608148772825 614.8257831417619 0.0 0.0
581.5 521.0 281.5 323.5 648.1498439987577 613.2645680574356 0.0 0.0
628.2857142857142 520.0 230.85714285714286 322.25 669.8798969455802 611.7557581728008 0.0 0.0
636.0 519.5 214.0 322.75 671.8132573380257 611.5946691069591 0.0 0.0
643.7142857142858 519.5 197.14285714285717 324.0 673.7466177304711 612.2551102366326 0.0 0.0
637.5 520.25 194.5 324.25 666.6387800502514 613.023760868264 0.0 0.0
550.5 521.0 277.0 324.5 616.8374119912753 613.7925707238105 0.0 0.0
545.0 521.75 316.5 325.0 630.2580726547483 614.6935398162971 0.0 0.0
560.5 523.0 339.0 325.0 655.1794350676394 615.7549677873898 0.0 0.0
552.0 524.25 359.5 325.0 658.7544220217549 616.817831019523 0.0 0.0
508.5 496.725 373.5 325.3 630.9390300163088 593.7688005131379 0.0 0.0
510.5 485.625 376.5 320.5 634.3208879135285 581.8710240843661 0.0 0.0
511.25 474.525 379.75 315.7 636.8571205115936 569.9732476555942 0.0 0.0
512.25 463.42499999999995 379.5 310.9 637.5110794935756 558.0754712268224 0.0 0.0
515.75 452.32500000000005 374.75 306.1 637.5231344373178 546.1776947980505 0.0 0.0
517.25 469.0 371.25 307.5 636.6910346242803 560.8994216238051 0.0 0.0
590.5 502.0 371.0 330.5 697.3780218079546 601.029306012852 0.0 0.0
578.5 512.5 364.0 340.0 683.4927887284798 615.0336730932252 0.0 0.0
583.25 514.5 363.75 335.5 687.3830713783822 614.2237529592452 0.0 0.0
584.25 515.5 364.0 335.0 688.3661971358471 614.7891739858972 0.0 0.0
581.5 516.5 370.5 336.0 689.5196553164069 616.1722741678103 0.0 0.0
581.5 518.0 378.0 337.0 693.5692878217332 617.9749359371132 0.0 0.0
579.0 518.5 385.25 338.0 695.4639573511688 618.9397591405984 0.0 0.0
546.0 516.5 402.5 339.0 678.6745424319522 617.8132975550707 0.0 0.0
513.25 515.5 396.25 339.5 648.4196701008962 617.2526336611924 0.0 0.0
